"","A","Pc*s*","Pc*s","Pcs*","Pcs"
"71",1,0,0,0,0
"Porifera",0.999,0,0.001,0,0
"Hex_Dem",0.874,0,0.126,0,0
"Demospongiae",0.87,0,0.13,0,0
"75",0.035,0,0.965,0,0
"76",0.001,0,0.999,0,0
"77",0,0,1,0,0
"78",0,0,1,0,0
"79",0,0,1,0,0
"80",0,0,1,0,0
"81",0,0,1,0,0
"82",0,0,1,0,0
"83",0,0,1,0,0
"84",0,0,1,0,0
"85",0,0,1,0,0
"86",0,0,1,0,0
"87",0,0,1,0,0
"88",0,0,1,0,0
"89",0,0,1,0,0
"90",0,0,1,0,0
"91",0,0,1,0,0
"92",0,0,1,0,0
"93",0,0,1,0,0
"94",0,0,1,0,0
"95",0,0,1,0,0
"96",0,0,1,0,0
"97",0,0,1,0,0
"98",0,0,1,0,0
"99",0,0,1,0,0
"100",0,0,1,0,0
"101",0,0,1,0,0
"102",0,0,1,0,0
"103",0,0,1,0,0
"104",0,0,1,0,0
"105",0,0,1,0,0
"106",0,0,1,0,0
"107",0,0,1,0,0
"108",0,0,1,0,0
"109",0,0,1,0,0
"110",0,0,1,0,0
"111",0,0,1,0,0
"112",0,0,1,0,0
"113",0,0,1,0,0
"114",0,0,1,0,0
"115",0,0,1,0,0
"116",0,0,1,0,0
"117",0,0,1,0,0
"118",0,0,1,0,0
"119",0.002,0,0.998,0,0
"120",0,0,1,0,0
"121",0.953,0,0.047,0,0
"122",0.999,0,0.001,0.001,0
"123",0.996,0,0,0.004,0
"124",1,0,0,0,0
"125",0.986,0,0.014,0,0
"126",0.984,0,0.016,0,0
"127",0.999,0,0.001,0,0
"Hexactinellida",0.043,0,0.957,0,0
"129",0.032,0,0.968,0,0
"Homosc_Calc",0.994,0,0.001,0.005,0
"Homoscleromorpha",0.979,0,0.021,0,0
"Calcarea",0.024,0,0,0.976,0
"133",0,0,0,1,0
"134",0.002,0,0,0.998,0
"135",1,0,0,0,0
"136",1,0,0,0,0
"137",1,0,0,0,0
"Bilateria",1,0,0,0,0
"139",1,0,0,0,0
